xcl,ycl,xvcl,yvcl,xlt,ylt,xvlt,yvlt,xtt,ytt,xvtt,yvtt
41.273907,24.497795,-0.000000,0.0000000.058310,0.116762,41.131410,24.400731,-0.000000111,0.000000154,41.356475,24.533986,-0.000000,0.000000
41.163055,24.652859,-0.000000,0.0000000.072821,0.158192,41.007089,24.600319,-0.000000111,0.000000154,41.255631,24.722529,-0.000000,0.000000
41.051533,24.807522,-0.000000,0.0000000.106393,0.091541,40.920989,24.756368,-0.000000112,0.000000154,41.201890,24.865759,-0.000000,0.000000
40.939342,24.961780,-0.000000,0.0000000.028381,0.045293,40.830480,24.928307,-0.000000113,0.000000153,41.045855,25.043624,-0.000000,0.000000
40.826482,25.115630,-0.000000,0.0000000.149844,0.113223,40.695311,25.101330,-0.000000114,0.000000153,40.969742,25.249342,-0.000000,0.000000
40.712956,25.269071,-0.000000,0.0000000.089320,0.059392,40.574070,25.208586,-0.000000114,0.000000152,40.818418,25.403297,-0.000000,0.000000
40.598764,25.422099,-0.000000,0.0000000.117844,0.111315,40.455995,25.306864,-0.000000115,0.000000152,40.753124,25.495806,-0.000000,0.000000
40.483910,25.574711,-0.000000,0.0000000.062079,0.078769,40.431075,25.514616,-0.000000115,0.000000152,40.663806,25.626225,-0.000000,0.000000
40.368392,25.726905,-0.000000,0.0000000.132430,0.206152,40.241614,25.606511,-0.000000116,0.000000151,40.438519,25.811795,-0.000000,0.000000
40.252214,25.878678,-0.000000,0.0000000.160760,0.178672,40.082407,25.735243,-0.000000117,0.000000150,40.415590,25.996863,-0.000000,0.000000
40.135377,26.030027,-0.000000,0.0000000.185972,0.124307,40.044836,25.965476,-0.000000118,0.000000150,40.294983,26.141402,-0.000000,0.000000
40.017883,26.180949,-0.000000,0.0000000.141932,0.195015,39.877749,26.054377,-0.000000118,0.000000150,40.180814,26.243629,-0.000000,0.000000
39.899732,26.331442,-0.000000,0.0000000.131187,0.056961,39.794949,26.219306,-0.000000119,0.000000149,40.053457,26.456710,-0.000000,0.000000
39.780926,26.481504,-0.000000,0.0000000.102223,0.136509,39.670823,26.439052,-0.000000120,0.000000149,39.874763,26.602637,-0.000000,0.000000
39.661468,26.631130,-0.000000,0.0000000.144796,0.091313,39.525317,26.560179,-0.000000120,0.000000148,39.775022,26.704639,-0.000000,0.000000
39.541358,26.780319,-0.000000,0.0000000.111621,0.066608,39.435507,26.715322,-0.000000121,0.000000148,39.651240,26.841080,-0.000000,0.000000
39.420598,26.929068,-0.000000,0.0000000.126486,0.047531,39.361891,26.812608,-0.000000122,0.000000148,39.543447,26.991903,-0.000000,0.000000
39.299189,27.077374,-0.000000,0.0000000.148688,0.084716,39.175574,27.039399,-0.000000122,0.000000147,39.456020,27.119399,-0.000000,0.000000
39.177134,27.225234,-0.000000,0.0000000.194409,0.188208,39.070237,27.137636,-0.000000123,0.000000146,39.287138,27.354080,-0.000000,0.000000
39.054434,27.372646,-0.000000,0.0000000.174363,0.114621,38.950096,27.313558,-0.000000124,0.000000146,39.129152,27.446976,-0.000000,0.000000
38.931091,27.519607,-0.000000,0.0000000.112208,0.127228,38.808709,27.439273,-0.000000124,0.000000146,39.062265,27.619425,-0.000000,0.000000
38.807105,27.666115,-0.000000,0.0000000.067531,0.138198,38.688398,27.559769,-0.000000125,0.000000145,38.913126,27.705745,-0.000000,0.000000
38.682479,27.812165,-0.000000,0.0000000.163882,0.090601,38.578788,27.731521,-0.000000126,0.000000145,38.818378,27.932786,-0.000000,0.000000
38.557215,27.957757,-0.000000,0.0000000.121000,0.126784,38.401570,27.898009,-0.000000126,0.000000144,38.687168,28.063055,-0.000000,0.000000
38.431314,28.102887,-0.000000,0.0000000.062225,0.124456,38.346629,28.001479,-0.000000126,0.000000144,38.561424,28.171413,-0.000000,0.000000
38.304778,28.247553,-0.000000,0.0000000.056076,0.095304,38.216720,28.100779,-0.000000127,0.000000144,38.434580,28.299755,-0.000000,0.000000
38.177608,28.391751,-0.000000,0.0000000.092826,0.057515,38.051081,28.319218,-0.000000128,0.000000143,38.313654,28.456390,-0.000000,0.000000
38.049806,28.535479,-0.000000,0.0000000.062904,0.075965,37.950344,28.432931,-0.000000128,0.000000143,38.157475,28.612906,-0.000000,0.000000
37.921374,28.678735,-0.000000,0.0000000.142492,0.128495,37.816953,28.599626,-0.000000129,0.000000142,38.033058,28.753256,-0.000000,0.000000
37.792314,28.821516,-0.000000,0.0000000.104158,0.123245,37.679437,28.715571,-0.000000130,0.000000142,37.847400,28.920487,-0.000000,0.000000
37.662628,28.963819,-0.000000,0.0000000.094537,0.102226,37.554495,28.916857,-0.000000130,0.000000141,37.784306,29.052181,-0.000000,0.000000
37.532316,29.105641,-0.000000,0.0000000.071286,0.044958,37.440964,29.035111,-0.000000131,0.000000141,37.615158,29.135771,-0.000000,0.000000
37.401382,29.246981,-0.000000,0.0000000.117938,0.237209,37.270072,29.154547,-0.000000132,0.000000140,37.526353,29.280640,-0.000000,0.000000
37.269826,29.387834,-0.000000,0.0000000.104087,0.086458,37.150992,29.333538,-0.000000132,0.000000140,37.375116,29.460557,-0.000000,0.000000
37.137651,29.528199,-0.000000,0.0000000.084197,0.108966,37.032431,29.509929,-0.000000133,0.000000139,37.253259,29.584735,-0.000000,0.000000
37.004858,29.668073,-0.000000,0.0000000.065174,0.108830,36.914351,29.546325,-0.000000133,0.000000139,37.118748,29.741154,-0.000000,0.000000
36.871449,29.807453,-0.000000,0.0000000.114244,0.124691,36.765794,29.736168,-0.000000134,0.000000138,37.003691,29.891545,-0.000000,0.000000
36.737426,29.946337,-0.000000,0.0000000.136725,0.104671,36.630207,29.867561,-0.000000135,0.000000138,36.862651,30.065680,-0.000000,0.000000
36.602791,30.084722,-0.000000,0.0000000.124013,0.049757,36.489437,30.000398,-0.000000135,0.000000137,36.761746,30.189572,-0.000000,0.000000
